trial_nr,phase,correct_shape,correct_shape_position,correct_reward,incorrect_reward,response,correct,rewarded,response_time
0,pre,square,1.0,1,0,no response,0,0,None
1,pre,square,0.0,1,0,left,0,0,0.6065520416595973
2,pre,square,0.0,0,1,right,1,0,0.632447833326296
3,pre,square,1.0,1,0,left,1,1,0.7680574583355337
4,pre,square,1.0,1,0,left,1,1,0.5800874166743597
5,pre,square,0.0,1,1,right,1,1,0.54002216666413
6,pre,square,0.0,1,0,right,1,1,0.5328108333487762
7,pre,square,1.0,1,0,left,1,1,0.6502792916726321
8,pre,square,1.0,1,0,left,1,1,0.576697124997736
9,pre,square,1.0,1,1,left,1,1,0.4986849583219737
10,pre,square,1.0,1,0,left,1,1,0.4163821666734293
11,pre,square,0.0,1,0,right,1,1,0.4881755833339412
12,pre,square,0.0,1,0,right,1,1,0.47083283332176507
13,pre,square,0.0,0,1,right,1,0,0.4311920833279146
14,pre,square,1.0,0,0,left,1,0,0.46409720832889434
15,pre,square,0.0,0,0,right,1,0,0.4687193333375035
16,pre,square,1.0,1,0,left,1,1,0.3709569583152188
17,pre,square,0.0,0,0,right,1,0,0.4742519583378453
18,pre,square,0.0,1,0,right,1,1,0.5527852916566189
19,pre,square,0.0,0,0,right,1,0,0.38486804167041555
20,pre,square,1.0,1,1,left,1,1,0.41174345834588166
21,pre,square,1.0,1,0,left,1,1,0.4315830416744575
22,pre,square,1.0,1,1,left,1,1,0.4123993750108639
23,pre,square,0.0,1,0,right,1,1,0.42645395833824296
24,pre,square,1.0,1,0,left,1,1,0.3425697916536592
25,pre,square,0.0,1,0,right,1,1,0.42116362501110416
26,pre,square,1.0,1,0,left,1,1,0.4146467499958817
27,pre,square,1.0,1,0,left,1,1,0.49350445832533296
28,pre,square,0.0,1,0,right,1,1,0.43136624999169726
29,pre,square,0.0,1,0,right,1,1,0.534700125004747
30,post,circle,0.0,1,1,left,0,1,0.3567265833262354
31,post,circle,0.0,1,0,left,0,0,0.48370912500831764
32,post,circle,1.0,1,0,right,0,0,0.40697199999704026
33,post,circle,0.0,0,0,right,1,0,0.5507237083220389
34,post,circle,0.0,0,0,right,1,0,0.4405456250096904
35,post,circle,1.0,0,0,right,0,0,0.5118860416550888
36,post,circle,1.0,1,0,right,0,0,0.47281987499445677
37,post,circle,1.0,1,0,right,0,0,0.480155958342948
38,post,circle,0.0,1,0,left,0,0,0.5139619999972638
39,post,circle,1.0,1,0,right,0,0,0.4707029166602297
40,post,circle,1.0,1,0,right,0,0,0.42452529165893793
41,post,circle,1.0,1,0,right,0,0,0.5146889999887208
42,post,circle,1.0,1,0,right,0,0,0.4192283750016941
43,post,circle,1.0,1,0,left,1,1,0.519317875005072
44,post,circle,1.0,0,0,left,1,0,0.40799195833096746
45,post,circle,0.0,1,1,left,0,1,0.43130733333237004
46,post,circle,1.0,1,1,right,0,1,0.42277150000154506
47,post,circle,0.0,1,0,left,0,0,0.36702775000594556
48,post,circle,0.0,1,1,right,1,1,0.4254594583326252
49,post,circle,1.0,1,0,right,0,0,0.4595442083227681
50,post,circle,1.0,1,1,left,1,1,0.4614817500114441
51,post,circle,0.0,1,0,right,1,1,0.3975393750006333
52,post,circle,0.0,1,0,right,1,1,0.4744275833363645
53,post,circle,1.0,1,0,right,0,0,0.4531949166703271
54,post,circle,1.0,1,0,right,0,0,0.4347235416789772
55,post,circle,0.0,1,0,left,0,0,0.42649279166653287
56,post,circle,0.0,1,0,right,1,1,0.44738170834898483
57,post,circle,0.0,1,0,right,1,1,0.5045458333333954
58,post,circle,0.0,1,0,right,1,1,0.45352816667582374
59,post,circle,0.0,0,0,right,1,0,0.5359575000038603
